,Station Name,Latitude,Longitude,X,Y
ST07,S7,51.096790000000006,5.1103,93.98010299017187,14.522437458857894
ST08,S8,51.097609999999996,5.10999,69.66175904346164,105.07570420578122
ST09,S9,51.09717,5.11062,115.17262788186781,57.41705047059804
ST10,S10,51.09724,5.1100699999999994,76.44234755448997,64.09608509857208
ST12,S12,51.09665,5.1108199999999995,130.83361691515893,0.0
ST13,S13,51.097120000000004,5.11112,150.33857605420053,52.86167553905398
ST14,S14,51.09811,5.11,68.76786127290688,160.69066401943564
ST15,S15,51.0975,5.10899,0.0,90.83792405668646
ST16,S16,51.097429999999996,5.10974,52.73246525437571,84.55973028950393
ST17,S17,51.098240000000004,5.10944,29.147075229440816,174.02135144919157
ST18,S18,51.09789,5.10928,19.060700168833137,134.78384294826537
ST18-2,S18-2,51.09789,5.109719999999999,49.8659144511912,135.6668830914423
