ID,Length_mm
100,736
101,890
102,797
103,945
104,820
105,850
106,862
107,906
108,832
109,852
38725,820
38726,825
38727,870
38728,770
38729,842
38730,910
38731,900
38732,867
38733,922
38734,736
38735,917
38736,770
38737,850
38738,720
38739,777
38740,846
64485,150
64486,135
64487,141
64488,141
64489,137
64490,143
64491,141
64492,144
64493,142
64494,140
64495,145
64496,142
64497,142
64498,142
64499,151
64500,146
64501,145
64502,145
64503,142
64504,140
64505,137
64506,146
64507,142
64508,143
64509,145
64510,141
64511,143
64512,138
64513,140
34517,170
34518,173
34519,161
34520,164
34521,165
34522,158
34523,166
34524,167
34525,173
34526,160
34527,156
34528,159
34529,155
34530,176
34531,162
34532,153
34533,164
34534,160
34535,162
34429,161
34430,154
34431,170
34432,162
34433,160
34434,167
34435,168
34436,166
34437,164
34438,170
34439,162
34440,156
34441,159
34442,164
34443,166
34444,161
34445,163
34446,163
34447,168
34448,155
34449,168
34450,163
34451,170
34452,163
34453,167
